service,file,line,requirement,package,exact_pinned,strict_service,issue
actuator-service,services/actuator-service/requirements.txt,1,fastapi==0.136.3,fastapi,True,False,
actuator-service,services/actuator-service/requirements.txt,2,uvicorn[standard]==0.30.6,uvicorn,True,False,
actuator-service,services/actuator-service/requirements.txt,3,pydantic==2.13.4,pydantic,True,False,
actuator-service,services/actuator-service/requirements.txt,4,httpx>=0.27.0,httpx,False,False,range_or_minimum_pin
actuator-service,services/actuator-service/requirements.txt,5,"asyncpg>=0.30.0,<0.32.0",asyncpg,False,False,range_or_minimum_pin
actuator-service,services/actuator-service/requirements.txt,6,redis>=5.0.0,redis,False,False,range_or_minimum_pin
actuator-service,services/actuator-service/requirements.txt,7,aiomqtt>=2.0.0,aiomqtt,False,False,range_or_minimum_pin
actuator-service,services/actuator-service/requirements.txt,8,PyJWT>=2.13.0,PyJWT,False,False,range_or_minimum_pin
agriai-engine,services/agriai-engine/requirements.txt,1,fastapi==0.136.3,fastapi,True,True,
agriai-engine,services/agriai-engine/requirements.txt,2,uvicorn[standard]==0.30.6,uvicorn,True,True,
agriai-engine,services/agriai-engine/requirements.txt,3,"asyncpg>=0.30.0,<0.32.0",asyncpg,False,True,range_or_minimum_pin
agriai-engine,services/agriai-engine/requirements.txt,4,prometheus-client>=0.19.0,prometheus-client,False,True,range_or_minimum_pin
agriai-engine,services/agriai-engine/requirements.txt,5,scikit-learn>=1.4.0,scikit-learn,False,True,range_or_minimum_pin
agriai-engine,services/agriai-engine/requirements.txt,6,numpy>=1.26.0,numpy,False,True,range_or_minimum_pin
agriai-engine,services/agriai-engine/requirements.txt,7,opentelemetry-instrumentation-fastapi>=0.44b0,opentelemetry-instrumentation-fastapi,False,True,range_or_minimum_pin
agriai-engine,services/agriai-engine/requirements.txt,8,pydantic==2.13.4,pydantic,True,True,
ai_agronomist,services/ai_agronomist/requirements.txt,1,fastapi==0.136.3,fastapi,True,False,
ai_agronomist,services/ai_agronomist/requirements.txt,2,uvicorn[standard]==0.30.6,uvicorn,True,False,
ai_agronomist,services/ai_agronomist/requirements.txt,3,pydantic==2.13.4,pydantic,True,False,
ai_agronomist,services/ai_agronomist/requirements.txt,4,httpx==0.28.1,httpx,True,False,
auth,services/auth/requirements.txt,1,fastapi==0.136.3,fastapi,True,False,
auth,services/auth/requirements.txt,2,uvicorn[standard]==0.30.6,uvicorn,True,False,
auth,services/auth/requirements.txt,3,"asyncpg>=0.30.0,<0.32.0",asyncpg,False,False,range_or_minimum_pin
auth,services/auth/requirements.txt,4,bcrypt>=4.1.0,bcrypt,False,False,range_or_minimum_pin
auth,services/auth/requirements.txt,5,pyotp>=2.9.0,pyotp,False,False,range_or_minimum_pin
auth,services/auth/requirements.txt,6,cryptography>=44.0.0,cryptography,False,False,range_or_minimum_pin
auth,services/auth/requirements.txt,7,python-jose[cryptography]>=3.4.0,python-jose,False,False,range_or_minimum_pin
auth,services/auth/requirements.txt,8,pydantic[email]==2.13.4,pydantic,True,False,
auth,services/auth/requirements.txt,9,prometheus-client>=0.19.0,prometheus-client,False,False,range_or_minimum_pin
auth,services/auth/requirements.txt,11,aiosmtplib>=3.0.0,aiosmtplib,False,False,range_or_minimum_pin
auth,services/auth/requirements.txt,12,redis>=5.0.0,redis,False,False,range_or_minimum_pin
decision-service,services/decision-service/requirements.txt,1,fastapi==0.115.6,fastapi,True,False,
