file,line,requirement,package,exact_pinned,issue
tests_v9/requirements-test.txt,3,pytest==8.2.0,pytest,True,
tests_v9/requirements-test.txt,4,pytest-asyncio==0.23.0,pytest-asyncio,True,
tests_v9/requirements-test.txt,5,pytest-xdist==3.5.0,pytest-xdist,True,
tests_v9/requirements-test.txt,6,pytest-cov==5.0.0,pytest-cov,True,
tests_v9/requirements-test.txt,7,httpx==0.27.0,httpx,True,
tests_v9/requirements-test.txt,8,anyio==4.0.0,anyio,True,
tests_v9/requirements-test.txt,9,factory-boy==3.3.0,factory-boy,True,
tests_v9/requirements-test.txt,10,freezegun==1.4.0,freezegun,True,
tests_v9/requirements-test.txt,11,respx==0.20.2,respx,True,
tests_v9/requirements-test.txt,12,ruff==0.4.0,ruff,True,
tests_v9/requirements-test.txt,13,black==24.4.2,black,True,
tests_v9/requirements-test.txt,14,sqlparse==0.5.0,sqlparse,True,
tests_v9/requirements-test.txt,15,asyncpg==0.30.0,asyncpg,True,
tests_v9/requirements-test.txt,16,redis==5.3.1,redis,True,
tests_v9/requirements-test.txt,17,python-jose[cryptography]==3.4.0,python-jose,True,
tests_v9/requirements-test.txt,18,cryptography==46.0.4,cryptography,True,
tests_v9/requirements-test.txt,19,fastapi==0.136.3,fastapi,True,
tests_v9/requirements-test.txt,20,pydantic[email]==2.13.4,pydantic,True,
tests_v9/requirements-test.txt,21,bcrypt==4.1.0,bcrypt,True,
tests_v9/requirements-test.txt,22,prometheus-client==0.20.0,prometheus-client,True,
tests_v9/requirements-test.txt,23,PyJWT==2.13.0,pyjwt,True,
tests_v9/requirements-test.txt,24,pyotp==2.9.0,pyotp,True,
tests_v9/requirements-test.txt,25,PyYAML==6.0.2,pyyaml,True,
tests_v9/requirements-test.txt,26,numpy==1.26.4,numpy,True,
tests_v9/requirements-test.txt,27,hypothesis==6.100.0,hypothesis,True,
tests_v9/requirements-test.txt,28,nats-py==2.3.0,nats-py,True,
