id,kind,incoming,outgoing,orphan,paths
actuator-service,service,0,8,False,services/actuator-service
agriai-engine,service,1,2,False,services/agriai-engine
ai-agronomist,service,0,5,False,services/ai_agronomist
auth,service,0,3,False,services/auth
auth-service,compose-service,5,4,False,
decision-service,service,10,3,False,services/decision-service
edge-inference,service,4,0,False,services/edge-inference
erp-bridge,service,2,2,False,services/odoo-bridge
erpnext-backend,compose-service,5,1,False,
erpnext-configurator,compose-service,1,3,False,
erpnext-create-site,compose-service,1,1,False,
erpnext-db,compose-service,1,0,False,
erpnext-frontend,compose-service,0,2,False,
erpnext-queue-long,compose-service,0,1,False,
erpnext-queue-short,compose-service,0,1,False,
erpnext-redis-cache,compose-service,1,0,False,
erpnext-redis-queue,compose-service,1,0,False,
erpnext-scheduler,compose-service,0,1,False,
erpnext-websocket,compose-service,1,1,False,
evidence-migrate,compose-service,0,1,False,
evidence-postgres,compose-service,1,0,False,
fastbee,compose-service,4,2,False,
field-management-service,service,0,1,False,services/field-management-service
field-segmentation,service,0,0,True,services/field-segmentation
frontend,compose-service,4,4,False,
guardrails,compose-service,8,2,False,
guardrails-engine,service,0,0,True,services/guardrails-engine
indicators-service,service,4,2,False,services/indicators-service
knowledge-graph,service,2,0,False,services/knowledge-graph
local-ai-rag,service,2,4,False,services/local-ai-rag
market-mcp,compose-service,2,1,False,
mcp-servers,service,0,3,False,services/mcp_servers
model-registry-adapter,service,0,2,False,services/model-registry-adapter
nginx,compose-service,0,9,False,
ollama,compose-service,1,0,False,
platform,service,4,31,False,services/sahool-platform
postgis,compose-service,12,0,False,
production-preflight,compose-service,3,0,False,
qdrant,compose-service,4,0,False,
qdrant-seed,service,0,1,False,services/qdrant-seed
rag-retrieval,service,1,1,False,services/rag-retrieval
raster-service,service,8,9,False,services/raster-service
raster-tiler-service,service,2,0,False,services/raster-tiler-service
redis,compose-service,29,0,False,
remote-sensing-workspace-bff,service,0,3,False,services/remote-sensing-workspace-bff
sahool-actuator-dispatch-worker,compose-service,0,2,False,
sahool-actuator-service,compose-service,0,4,False,
sahool-agriai-engine,compose-service,0,6,False,
sahool-ai-agronomist,compose-service,0,4,False,
sahool-auth,compose-service,3,6,False,
sahool-canonical-execution-learning-worker,compose-service,0,4,False,
sahool-decision-service,compose-service,1,0,False,
sahool-edge,compose-service,3,0,False,
sahool-erp-bridge,compose-service,1,3,False,
sahool-fastbee,compose-service,2,0,False,
sahool-field-management,compose-service,0,6,False,
sahool-field-segmentation,compose-service,1,1,False,
sahool-frontend,compose-service,1,0,False,
sahool-guardrails-engine,compose-service,2,5,False,
sahool-indicators-service,compose-service,2,4,False,
sahool-irrigation-reservation-lifecycle-worker,compose-service,0,1,False,
sahool-knowledge-graph,compose-service,1,0,False,
sahool-local-ai-rag,compose-service,1,4,False,
sahool-market-mcp,compose-service,1,2,False,
sahool-migrate,compose-service,27,2,False,
sahool-minio,compose-service,1,0,False,
sahool-minio-init,compose-service,0,1,False,
sahool-model-lifecycle-adapter,compose-service,0,1,False,
sahool-model-registry-worker,compose-service,0,2,False,
sahool-nats,compose-service,14,0,False,
sahool-nats-exporter,compose-service,0,1,False,
sahool-nginx,compose-service,0,11,False,
sahool-notification-agent,compose-service,2,8,False,
sahool-odoo,compose-service,1,3,False,
sahool-ollama,compose-service,5,0,False,
sahool-pg-exporter,compose-service,0,1,False,
sahool-phase-runtime-outbox-worker,compose-service,0,2,False,
sahool-plugin-runtime-worker,compose-service,0,2,False,
sahool-postgres,compose-service,40,0,False,
sahool-qdrant,compose-service,6,0,False,
sahool-qdrant-seed,compose-service,0,4,False,
sahool-rag-retrieval,compose-service,1,3,False,
sahool-raster,compose-service,0,1,False,
sahool-raster-backfill-scan-worker,compose-service,0,2,False,
sahool-raster-cache-invalidation-worker,compose-service,0,2,False,
sahool-raster-service,compose-service,0,4,False,
sahool-redis,compose-service,17,0,False,
sahool-remote-sensing-workspace-bff,compose-service,0,2,False,
sahool-reservation-dispatch-relay-worker,compose-service,0,1,False,
sahool-sam2-inference,compose-service,1,0,False,
sahool-scout-ingest,compose-service,0,2,False,
sahool-scout-ingest-projection,compose-service,0,2,False,
sahool-sentinel-hub-mcp,compose-service,1,0,False,
sahool-soil-service,compose-service,0,2,False,
sahool-supervisor-agent,compose-service,1,2,False,
sahool-telegram-bot,compose-service,0,7,False,
sahool-tts-service,compose-service,1,1,False,
sahool-unified-odoo,compose-service,0,1,False,
sahool-vegetation-analysis,compose-service,2,1,False,
sahool-video-processor,compose-service,0,6,False,
sahool-water-ledger-worker,compose-service,0,2,False,
sahool-weather-mcp,compose-service,1,0,False,
sahool-weather-polygon-worker,compose-service,0,3,False,
sahool-weather-service,compose-service,1,3,False,
sahool-weather-signal-engine,compose-service,0,2,False,
sahool-wofost-mcp,compose-service,1,0,False,
sahool-zlmediakit,compose-service,2,1,False,
sahool-zlmediakit-config,compose-service,1,0,False,
sam2-inference,service,0,0,True,services/sam2-inference
scout-ingest-service,service,1,0,False,services/scout-ingest-service
sentinel-hub-mcp,compose-service,2,0,False,
soil-service,service,8,0,False,services/soil-service
supervisor-agent,service,6,16,False,services/supervisor-agent
telegram-bot,compose-service,0,4,False,
tts-service,service,0,1,False,services/tts-service
vegetation-analysis-service,service,0,10,False,services/vegetation-analysis-service
video-processor,service,0,8,False,services/video-processor
weather-mcp,compose-service,2,0,False,
weather-polygon-worker,service,0,0,True,services/weather-polygon-worker
weather-service,service,4,1,False,services/weather-service
weather-signal-engine,service,0,0,True,services/weather-signal-engine
wofost-mcp,compose-service,2,0,False,
