capability_id,kind,value,score,decision
DEC-001,api,GET /api/v1/calibration/{region}/evidence/persisted @ services/sahool-platform/api/routers/calibration.py:144,2,applied
DEC-001,api,GET /api/v1/decisions/{decision_id}/agronomic-evidence @ services/sahool-platform/api/routers/decision_review.py:71,2,applied
DEC-001,api,GET /api/v1/evidence-graph/analytics @ services/sahool-platform/api/routers/field_intelligence.py:605,2,applied
DEC-001,api,GET /api/v1/evidence/map @ services/sahool-platform/api/routers/evidence_map.py:87,2,applied
DEC-001,api,GET /api/v1/fields/{field_id}/evidence-graph/latest @ services/sahool-platform/api/routers/field_intelligence.py:539,2,applied
DEC-001,api,GET /api/v1/fields/{field_id}/evidence-graph/nodes @ services/sahool-platform/api/routers/field_intelligence.py:638,2,applied
DEC-001,api,GET /api/v1/fields/{field_id}/evidence-graph/timeline @ services/sahool-platform/api/routers/field_intelligence.py:571,2,applied
DEC-001,api,GET /runtime-identity @ services/agriai-engine/main.py:97,2,applied
DEC-001,api,GET /runtime-identity @ services/raster-service/main.py:64,2,applied
DEC-001,api,GET /runtime-identity @ services/sahool-platform/api/routers/platform_health.py:24,2,applied
DEC-001,api,GET /runtime-identity @ services/soil-service/main.py:198,2,applied
DEC-001,api,GET /runtime-identity @ services/weather-service/main.py:55,2,applied
DEC-001,api,GET /v1/decisions/{decision_id}/agronomic-evidence @ services/decision-service/main.py:1107,3,applied
DEC-001,api,POST /api/v1/calibration/{region}/adapt-from-evidence @ services/sahool-platform/api/routers/calibration.py:247,2,applied
DEC-001,api,POST /api/v1/calibration/{region}/adapt-from-evidence/apply @ services/sahool-platform/api/routers/calibration.py:302,2,applied
DEC-001,api,POST /api/v1/calibration/{region}/evidence @ services/sahool-platform/api/routers/calibration.py:124,2,applied
DEC-001,api,POST /api/v1/cameras/snapshot-evidence @ services/sahool-platform/api/routers/cameras.py:58,2,applied
DEC-001,api,POST /api/v1/evidence/corroborate @ services/sahool-platform/api/routers/evidence.py:26,2,applied
DEC-001,api,POST /v1/activation/evidence-receipts @ services/decision-service/main.py:1409,3,applied
DEC-001,api,POST /v1/activation/evidence-receipts/{evidence_id}/revoke @ services/decision-service/main.py:1483,3,applied
DEC-001,api,POST /v1/evidence/vegetation-snapshots @ services/decision-service/main.py:601,3,applied
DEC-001,api,POST /v1/fields/{field_id}/soil/evidence @ services/soil-service/routers/canonical.py:126,2,applied
DEC-001,api,POST /v1/learning/reconcile-evidence @ services/decision-service/main.py:2791,3,applied
DEC-001,service,services/decision-service/main.py,10,applied
DEC-001,test,services/decision-service/tests/test_activation_evidence_contract.py,3,applied
DEC-001,test,services/decision-service/tests/test_agronomic_evidence_contract.py,3,applied
DEC-001,test,services/decision-service/tests/test_decision_evidence_read.py,7,applied
DEC-001,test,services/sahool-platform/tests/test_adapt_from_evidence.py,3,applied
DEC-001,test,services/sahool-platform/tests/test_evidence_class.py,3,applied
DEC-001,test,services/sahool-platform/tests/test_evidence_graph.py,3,applied
DEC-001,test,services/sahool-platform/tests/test_evidence_graph_analytics.py,3,applied
DEC-001,test,services/sahool-platform/tests/test_evidence_graph_analytics_endpoints_static.py,3,applied
DEC-001,test,services/sahool-platform/tests/test_evidence_graph_normalize.py,3,applied
DEC-001,test,services/sahool-platform/tests/test_evidence_snapshot.py,3,applied
DEC-001,test,services/sahool-platform/tests/test_irrigation_decision_evidence_chain.py,7,applied
DEC-001,test,services/sahool-platform/tests/test_p0_raster_weather_decision_evidence_guard.py,7,applied
DEC-001,test,services/soil-service/test_soil_evidence_adapters_and_policy.py,3,applied
DEC-001,test,services/vegetation-analysis-service/test_evidence_producer_contract.py,3,applied
DEC-001,test,tests/architecture/test_capability_evidence_maturity_engine.py,3,applied
DEC-001,test,tests/architecture/test_runtime_evidence_ingestion.py,3,applied
DEC-001,test,tests/architecture/test_runtime_evidence_trust_hardening.py,3,applied
DEC-001,test,tests_v9/test_d09_live_evidence_receipt.py,3,applied
DEC-001,test,tests_v9/test_evidence_contract_v62_3.py,3,applied
DEC-001,test,tests_v9/test_evidence_graph_nodes_migration_v149.py,3,applied
DEC-001,test,tests_v9/test_evidence_lab_contract.py,3,applied
DEC-001,test,tests_v9/test_evidence_map_shape.py,3,applied
DEC-001,test,tests_v9/test_evidence_persistence.py,3,applied
DEC-001,test,tests_v9/test_evidence_registry.py,3,applied
DEC-001,test,tests_v9/test_evidence_snapshots_migration_v148.py,3,applied
DEC-001,test,tests_v9/test_live_pg_evidence_guard.py,3,applied
DEC-001,test,tests_v9/test_ndvi_evidence_policy.py,3,applied
DEC-001,test,tests_v9/test_production_evidence_pack_guard.py,3,applied
DEC-001,test,tests_v9/test_runtime_evidence_wiring_v62_2.py,3,applied
DEC-001,test,tests_v9/test_soil_lab_evidence_hardening_v57_5.py,3,applied
DEC-002,api,POST /api/v1/crop-twin/decision-candidate @ services/sahool-platform/api/routers/crop_twin.py:302,2,applied
DEC-002,api,POST /api/v1/decisions/{decision_id}/review @ services/sahool-platform/api/routers/decision_review.py:107,2,applied
DEC-002,api,POST /v1/decisions/{decision_id}/review @ services/decision-service/main.py:721,3,applied
DEC-002,service,services/decision-service/main.py,10,applied
DEC-002,test,services/decision-service/tests/test_wx10_6_crop_candidate_downstream_e2e.py,3,applied
DEC-002,test,services/sahool-platform/tests/test_candidate_generator.py,3,applied
DEC-002,test,services/sahool-platform/tests/test_crop_decision_candidate_endpoint.py,3,applied
DEC-003,api,GET /api/v1/decisions/review-queue @ services/sahool-platform/api/routers/decision_review.py:45,2,applied
DEC-003,api,GET /api/v1/decisions/{decision_id}/agronomic-evidence @ services/sahool-platform/api/routers/decision_review.py:71,2,applied
DEC-003,api,GET /api/v1/learning/calibration-dataset @ services/sahool-platform/api/routers/decision_review.py:579,2,applied
DEC-003,api,GET /v1/decisions/review-queue @ services/decision-service/main.py:685,3,applied
DEC-003,api,PATCH /api/v1/fields/{field_id}/boundary/review @ services/sahool-platform/api/routers/boundaries.py:36,2,applied
DEC-003,api,POST /api/v1/decisions/{decision_id}/execution-plan @ services/sahool-platform/api/routers/decision_review.py:188,2,applied
