id,title,domain,owner,services,apis,tests,ui_consumers,mobile_consumers,evidence,traceability_score,gaps
DEC-001,Decision evidence,decision,decision-service,1,23,25,0,0,5,67,"ui,mobile"
DEC-002,Decision candidate,decision,decision-service,1,3,3,0,0,1,67,"ui,mobile"
DEC-003,Human approval,decision,decision-service,1,23,14,0,0,5,67,"ui,mobile"
DEC-004,Execution request,decision,decision-service,1,8,3,0,0,2,67,"ui,mobile"
DEC-005,Dispatch authorization,decision,decision-service,1,18,16,0,0,5,67,"ui,mobile"
DEC-006,Execution receipt,decision,decision-service,1,1,2,0,0,1,67,"ui,mobile"
DEC-007,Outcome recording,decision,decision-service,1,13,7,0,0,5,67,"ui,mobile"
DEC-008,Learning attribution,decision,decision-service,1,4,1,0,0,1,67,"ui,mobile"
DEC-009,Model calibration,decision,decision-service,1,21,11,1,0,5,83,mobile
DEC-010,Model lifecycle and activation,decision,decision-service,1,11,6,0,0,5,67,"ui,mobile"
FM-001,Tenant and organization management,farm_management,auth+field-management-service,2,36,25,1,1,5,100,
FM-002,Farm registry,farm_management,field-management-service,1,36,10,0,1,5,83,ui
FM-003,Field registry and boundaries,farm_management,field-management-service,1,40,25,5,15,5,100,
FM-004,Season lifecycle,farm_management,field-management-service,1,26,25,1,0,5,83,mobile
FM-005,Crop and cultivar catalog,farm_management,UNASSIGNED,0,25,25,0,0,5,33,"service,ui,mobile,owner"
FM-006,Farm economics,farm_management,UNASSIGNED,0,14,7,0,0,5,33,"service,ui,mobile,owner"
FM-007,Inventory and procurement,farm_management,UNASSIGNED,0,7,3,0,1,5,50,"service,ui,owner"
FM-008,ERP integration,farm_management,erp-bridge,1,14,8,0,0,5,67,"ui,mobile"
GIS-001,Field geometry validation,gis,field-management-service,1,36,25,0,1,5,83,ui
GIS-002,Map layers,gis,raster-service,1,11,16,0,1,6,83,ui
GIS-003,Terrain and DEM,gis,raster-service,1,11,8,0,0,5,67,"ui,mobile"
GIS-004,Spatial analytics,gis,raster-service,1,2,3,0,0,5,67,"ui,mobile"
INT-001,Public API and SDK,farm_management,sahool-platform,1,1,0,0,0,0,50,"test,ui,mobile"
INT-002,Event bus integration,farm_management,sahool-platform,1,0,3,0,0,1,50,"api,ui,mobile"
INT-003,IoT and sensors,irrigation,actuator-service,1,3,5,0,0,5,67,"ui,mobile"
INT-004,External machinery integrations,precision,sahool-platform,0,0,0,0,0,1,17,"service,api,test,ui,mobile"
IRR-001,Water source registry,irrigation,sahool-platform,1,0,1,0,0,3,50,"api,ui,mobile"
IRR-002,Water quality samples,irrigation,sahool-platform,1,1,0,0,0,0,50,"test,ui,mobile"
IRR-003,Field water-source binding,irrigation,sahool-platform,1,0,1,0,0,4,50,"api,ui,mobile"
IRR-004,Water balance,irrigation,sahool-platform,1,1,4,0,0,3,67,"ui,mobile"
IRR-005,Irrigation recommendation,irrigation,sahool-platform,1,11,13,0,0,5,67,"ui,mobile"
IRR-006,Irrigation scheduling,irrigation,sahool-platform,1,4,1,0,0,0,67,"ui,mobile"
IRR-007,Pump and valve control,irrigation,actuator-service+sahool-platform,2,20,18,0,0,5,67,"ui,mobile"
IRR-008,Execution verification,irrigation,decision-service+sahool-platform,2,0,0,0,0,0,33,"api,test,ui,mobile"
IRR-009,Water suitability multi-hazard,irrigation,sahool-platform,1,7,11,0,0,10,67,"ui,mobile"
IRR-010,Leaching and drainage safety,irrigation,sahool-platform,1,2,0,0,0,0,50,"test,ui,mobile"
OPS-001,Task management,operations,sahool-platform,1,3,1,0,1,1,83,ui
OPS-002,Work orders,operations,sahool-platform,1,1,4,0,0,3,67,"ui,mobile"
OPS-003,Scouting,operations,field-management-service,1,24,5,0,0,5,67,"ui,mobile"
OPS-004,Field forms,operations,field-management-service,1,8,21,2,10,5,100,
OPS-005,Offline mobile,operations,UNASSIGNED,0,3,9,0,1,5,50,"service,ui,owner"
