id,title,domain,owner,lifecycle,maturity,evidence_level,status,confidence,production_certified,dependencies
FM-001,Tenant and organization management,farm_management,auth+field-management-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,
FM-002,Farm registry,farm_management,field-management-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,
FM-003,Field registry and boundaries,farm_management,field-management-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,FM-002
FM-004,Season lifecycle,farm_management,field-management-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,"FM-003,FM-005"
FM-005,Crop and cultivar catalog,farm_management,UNASSIGNED,active,3,3,behavioral_test_linked_runtime_unverified,medium,False,
FM-006,Farm economics,farm_management,UNASSIGNED,active,3,3,behavioral_test_linked_runtime_unverified,medium,False,"FM-002,FM-004"
FM-007,Inventory and procurement,farm_management,UNASSIGNED,active,3,3,behavioral_test_linked_runtime_unverified,medium,False,
FM-008,ERP integration,farm_management,erp-bridge,active,3,3,behavioral_test_linked_runtime_unverified,high,False,FM-006
GIS-001,Field geometry validation,gis,field-management-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,FM-003
GIS-002,Map layers,gis,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,FM-003
GIS-003,Terrain and DEM,gis,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,GIS-002
GIS-004,Spatial analytics,gis,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,"GIS-001,GIS-002"
SAT-001,Satellite scene search,satellite,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,
SAT-002,True color imagery,satellite,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,medium,False,SAT-001
SAT-003,NDVI,satellite,raster-service+vegetation-analysis-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,"SAT-001,SAT-005"
SAT-004,NDMI,satellite,raster-service+vegetation-analysis-service,active,3,3,runtime_or_workflow_unverified,low,False,"SAT-001,SAT-005"
SAT-005,Cloud screening,satellite,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,SAT-001
SAT-006,Historical imagery timeline,satellite,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,"SAT-001,SAT-009"
SAT-007,Change detection,satellite,raster-service,active,3,3,behavioral_test_linked_runtime_unverified,high,False,"SAT-003,SAT-006"
