compose_file,service,env_keys,interpolated_refs,missing_refs
docker-compose.erpnext.yml,erpnext-db,1,ERPNEXT_DB_PASSWORD,
docker-compose.erpnext.yml,erpnext-redis-cache,0,,
docker-compose.erpnext.yml,erpnext-redis-queue,0,,
docker-compose.erpnext.yml,erpnext-configurator,0,,
docker-compose.erpnext.yml,erpnext-create-site,0,,
docker-compose.erpnext.yml,erpnext-backend,0,,
docker-compose.erpnext.yml,erpnext-frontend,8,ERPNEXT_SITE,
docker-compose.erpnext.yml,erpnext-websocket,0,,
docker-compose.erpnext.yml,erpnext-queue-short,0,,
docker-compose.erpnext.yml,erpnext-queue-long,0,,
docker-compose.erpnext.yml,erpnext-scheduler,0,,
docker-compose.fixed.yml,raster-tiler-service,1,,
docker-compose.fixed.yml,sahool-nginx,0,,
docker-compose.fixed.yml,sahool-postgres,3,DB_PASSWORD,
docker-compose.fixed.yml,sahool-migrate,9,"APP_DB_PASSWORD, APP_DB_ROLE, DB_PASSWORD, JOBS_DB_PASSWORD, JOBS_DB_ROLE",
docker-compose.fixed.yml,sahool-redis,1,REDIS_PASSWORD,
docker-compose.fixed.yml,sahool-nats,0,,
docker-compose.fixed.yml,sahool-minio,2,"MINIO_ROOT_PASSWORD, MINIO_ROOT_USER",
docker-compose.fixed.yml,sahool-qdrant,1,QDRANT_API_KEY,
docker-compose.fixed.yml,sahool-ollama,0,,
docker-compose.fixed.yml,sahool-auth,13,"ADMIN_PASSWORD, CORS_ORIGINS, DATABASE_URL, FRONTEND_URL, JWT_SECRET, REDIS_PASSWORD, SMTP_FROM, SMTP_HOST, SMTP_PASSWORD, SMTP_PORT, SMTP_USER",
docker-compose.fixed.yml,sahool-supervisor-agent,7,"DATABASE_URL, JWT_SECRET, SAHOOL_AGENT_TOKEN",
docker-compose.fixed.yml,sahool-platform,23,"CORS_ORIGINS, DATABASE_URL, FEATURE_DECISION_CONFIDENCE, FEATURE_DECISION_STUDIO, FEATURE_DELTA_SYNC, FEATURE_DEVICE_TWIN, FEATURE_EVIDENCE_MAP, FEATURE_EXECUTION_FEEDBACK, FEATURE_GIS_KERNEL, FEATURE_IRRIGATION_NETWORK, FEATURE_LEARNING_DASHBOARD, FEATURE_NATURAL_LANGUAGE_GIS, FEATURE_OPERATIONS_WALL, FEATURE_PORTFOLIO_COMMAND, FEATURE_REPLAY_MAP, FEATURE_UNIFIED_LINEAGE, JWT_SECRET, RASTER_SERVICE_URL, REDIS_PASSWORD, SAHOOL_ENV, SOIL_SERVICE_URL, WEATHER_SERVICE_URL",
docker-compose.fixed.yml,sahool-guardrails-engine,4,"DATABASE_URL, JWT_SECRET, REDIS_PASSWORD, SAHOOL_AGENT_TOKEN",
docker-compose.fixed.yml,sahool-sentinel-hub-mcp,3,"JWT_SECRET, SH_CLIENT_ID, SH_CLIENT_SECRET",
docker-compose.fixed.yml,sahool-weather-mcp,1,JWT_SECRET,
docker-compose.fixed.yml,sahool-wofost-mcp,1,JWT_SECRET,
docker-compose.fixed.yml,sahool-market-mcp,5,"DATABASE_URL, JWT_SECRET",
docker-compose.fixed.yml,sahool-vegetation-analysis,8,"COPERNICUS_PASSWORD, COPERNICUS_USER, CORS_ORIGINS, JWT_PUBLIC_KEY, JWT_SECRET, SH_CLIENT_ID, SH_CLIENT_SECRET",
docker-compose.fixed.yml,sahool-raster-service,10,"CORS_ORIGINS, EARTH_SEARCH_URL, S3_ACCESS_KEY, S3_ALLOW_FILE_FALLBACK, S3_BUCKET, S3_ENDPOINT, S3_REGION, S3_SECRET_KEY, S3_USE_SSL",
docker-compose.fixed.yml,sahool-indicators-service,4,"CORS_ORIGINS, DATABASE_URL, REDIS_PASSWORD",
docker-compose.fixed.yml,sahool-weather-service,2,CORS_ORIGINS,
docker-compose.fixed.yml,sahool-actuator-service,4,"DATABASE_URL, JWT_SECRET, REDIS_PASSWORD",
docker-compose.fixed.yml,sahool-edge,6,"EDGE_DEVICE, EDGE_SYNC_TOKEN, OFFLINE_MODE, SYNC_INTERVAL",
docker-compose.fixed.yml,sahool-local-ai-rag,8,"JWT_SECRET, QDRANT_API_KEY",
docker-compose.fixed.yml,sahool-qdrant-seed,5,QDRANT_API_KEY,
docker-compose.fixed.yml,sahool-erp-bridge,10,"DATABASE_URL, ERPNEXT_API_KEY, ERPNEXT_API_SECRET, ERPNEXT_URL, ERP_PROVIDER, JWT_SECRET, ODOO_DB, ODOO_PASSWORD, ODOO_URL, ODOO_USER",
docker-compose.fixed.yml,sahool-odoo,4,"DB_PASSWORD, ODOO_DB",
docker-compose.fixed.yml,sahool-telegram-bot,9,"DATABASE_URL, JWT_SECRET, REDIS_PASSWORD, TELEGRAM_BOT_TOKEN, TELEGRAM_WEBHOOK_SECRET",
docker-compose.fixed.yml,sahool-notification-agent,8,"DATABASE_URL, REDIS_PASSWORD, SMTP_FROM, SMTP_HOST, SMTP_PASSWORD, SMTP_PORT, SMTP_USER",
docker-compose.fixed.yml,sahool-frontend,2,"REACT_APP_API_URL, REACT_APP_WS_URL",
docker-compose.fixed.yml,sahool-prometheus,0,,
docker-compose.fixed.yml,sahool-alertmanager,0,,
docker-compose.fixed.yml,sahool-grafana,1,GRAFANA_PASSWORD,
docker-compose.fixed.yml,sahool-jaeger,1,,
docker-compose.fixed.yml,sahool-sam2-inference,3,"SAHOOL_AGENT_TOKEN, SAM2_CHECKPOINT, SAM2_MODEL_CFG",
docker-compose.light.yml,nginx,0,,
docker-compose.light.yml,auth-service,7,"APP_DB_PASSWORD, JWT_SECRET",
docker-compose.light.yml,supervisor-agent,8,"JWT_SECRET, SAHOOL_AGENT_TOKEN",
docker-compose.light.yml,sentinel-hub-mcp,3,"JWT_SECRET, SH_CLIENT_ID, SH_CLIENT_SECRET",
docker-compose.light.yml,weather-mcp,1,JWT_SECRET,
docker-compose.light.yml,wofost-mcp,1,JWT_SECRET,
docker-compose.light.yml,market-mcp,1,JWT_SECRET,
docker-compose.light.yml,guardrails,7,"APP_DB_PASSWORD, JWT_SECRET, SAHOOL_AGENT_TOKEN",
docker-compose.light.yml,edge-inference,5,"EDGE_DEVICE, EDGE_SYNC_TOKEN, OFFLINE_MODE",
docker-compose.light.yml,video-processor,4,,
docker-compose.light.yml,actuator-service,6,"APP_DB_PASSWORD, JWT_SECRET",
docker-compose.light.yml,fastbee,7,POSTGRES_PASSWORD,
docker-compose.light.yml,zlmediakit,0,,
docker-compose.light.yml,telegram-bot,5,"JWT_SECRET, TELEGRAM_BOT_TOKEN",
docker-compose.light.yml,frontend,0,,
docker-compose.light.yml,postgis,3,POSTGRES_PASSWORD,
docker-compose.light.yml,redis,1,REDIS_PASSWORD,
docker-compose.light.yml,minio,2,"MINIO_ROOT_PASSWORD, MINIO_ROOT_USER",
docker-compose.light.yml,nats,0,,
docker-compose.rag-kg-mcp.yml,sahool-rag-retrieval,4,QDRANT_API_KEY,
docker-compose.rag-kg-mcp.yml,sahool-knowledge-graph,0,,
docker-compose.rag-kg-mcp.yml,sahool-field-mcp,2,,
docker-compose.rag-kg-mcp.yml,sahool-lab-mcp,2,,
docker-compose.rag-kg-mcp.yml,sahool-satellite-mcp,2,,
docker-compose.rag-kg-mcp.yml,sahool-iot-mcp,2,,
docker-compose.rag-kg-mcp.yml,sahool-rag-mcp,2,,
docker-compose.rag-kg-mcp.yml,sahool-kg-mcp,2,,
docker-compose.test.yml,test-postgres,3,,
docker-compose.test.yml,test-redis,0,,
docker-compose.test.yml,test-nats,0,,
docker-compose.test.yml,test-qdrant,1,,
docker-compose.unified.yml,raster-tiler-service,1,,
docker-compose.unified.yml,nginx,0,,
docker-compose.unified.yml,frontend,0,,
docker-compose.unified.yml,auth-service,7,"APP_DB_PASSWORD, JWT_SECRET",
docker-compose.unified.yml,supervisor-agent,9,"JWT_SECRET, SAHOOL_AGENT_TOKEN",
docker-compose.unified.yml,guardrails,7,"APP_DB_PASSWORD, JWT_SECRET, SAHOOL_AGENT_TOKEN",
docker-compose.unified.yml,sentinel-hub-mcp,3,"JWT_SECRET, SH_CLIENT_ID, SH_CLIENT_SECRET",
docker-compose.unified.yml,weather-mcp,1,JWT_SECRET,
docker-compose.unified.yml,wofost-mcp,1,JWT_SECRET,
docker-compose.unified.yml,market-mcp,8,"APP_DB_PASSWORD, JWT_SECRET",
docker-compose.unified.yml,edge-inference,5,"EDGE_DEVICE, EDGE_SYNC_TOKEN, OFFLINE_MODE",
docker-compose.unified.yml,video-processor,4,,
docker-compose.unified.yml,actuator-service,6,"APP_DB_PASSWORD, JWT_SECRET",
docker-compose.unified.yml,fastbee,7,POSTGRES_PASSWORD,
docker-compose.unified.yml,zlmediakit,0,,
docker-compose.unified.yml,local-ai-rag,6,"EMBED_MODEL, LLM_MODEL, NUM_CTX",
docker-compose.unified.yml,ollama,0,,
docker-compose.unified.yml,qdrant,1,QDRANT_API_KEY,
docker-compose.unified.yml,agriai-engine,10,"APP_DB_PASSWORD, JWT_SECRET",
docker-compose.unified.yml,sahool-unified-odoo,4,"DB_PASSWORD, DB_USER, ODOO_DB",
docker-compose.unified.yml,erp-bridge,18,"APP_DB_PASSWORD, ERPNEXT_API_KEY, ERPNEXT_API_SECRET, ERPNEXT_URL, ERP_PROVIDER, ODOO_API_KEY, ODOO_DB, ODOO_PASSWORD, ODOO_URL, ODOO_USER, SAHOOL_AGENT_TOKEN, WEBHOOK_SECRET",
docker-compose.unified.yml,telegram-bot,5,"JWT_SECRET, TELEGRAM_BOT_TOKEN",
docker-compose.unified.yml,postgis,3,POSTGRES_PASSWORD,
docker-compose.unified.yml,redis,1,REDIS_PASSWORD,
docker-compose.unified.yml,minio,2,"MINIO_ROOT_PASSWORD, MINIO_ROOT_USER",
docker-compose.unified.yml,nats,0,,
docker-compose.v9.gpu.yml,sahool-edge,3,"EDGE_DEVICE, NVIDIA_DRIVER_CAPABILITIES, NVIDIA_VISIBLE_DEVICES",
docker-compose.v9.gpu.yml,sahool-sam2-inference,4,"CUDA_MODULE_LOADING, NVIDIA_DRIVER_CAPABILITIES, NVIDIA_VISIBLE_DEVICES, TORCH_CUDA_ARCH_LIST",
docker-compose.v9.gpu.yml,sahool-field-segmentation,4,"EXG_MAX_IMAGE_PIXELS, EXG_MAX_SIDE",
docker-compose.v9.gpu.yml,sahool-video-processor,3,"NVIDIA_DRIVER_CAPABILITIES, NVIDIA_VISIBLE_DEVICES, VIDEO_STRICT_READY",
docker-compose.v9.gpu.yml,sahool-tts-service,2,"TTS_GPU_PROVIDER, TTS_PROVIDER",
docker-compose.v9.yml,raster-tiler-service,1,,
docker-compose.v9.yml,sahool-nginx,4,"DOMAIN, SAHOOL_AGENT_TOKEN",
docker-compose.v9.yml,sahool-video-processor,10,"FRAME_INTERVAL_SEC, JWT_PUBLIC_KEY, JWT_SECRET, MAX_CONCURRENT_STREAMS, REDIS_PASSWORD, SAHOOL_AGENT_TOKEN, ZLMEDIAKIT_API_SECRET",
docker-compose.v9.yml,sahool-agriai-engine,7,"DATABASE_URL, JWT_SECRET, SAHOOL_AGENT_TOKEN",
docker-compose.v9.yml,sahool-tts-service,7,"JWT_PUBLIC_KEY, JWT_SECRET, REDIS_PASSWORD, SAHOOL_AGENT_TOKEN, SAHOOL_ENV, TTS_CACHE_TTL, TTS_MAX_TEXT_LEN",
docker-compose.v9.yml,sahool-postgres,3,DB_PASSWORD,
docker-compose.v9.yml,sahool-redis,1,REDIS_PASSWORD,
docker-compose.v9.yml,sahool-nats,0,,
docker-compose.v9.yml,sahool-minio,2,"MINIO_ROOT_PASSWORD, MINIO_ROOT_USER",
docker-compose.v9.yml,sahool-qdrant,1,QDRANT_API_KEY,
docker-compose.v9.yml,sahool-ollama,0,,
docker-compose.v9.yml,sahool-migrate,9,"APP_DB_PASSWORD, APP_DB_ROLE, DB_PASSWORD, JOBS_DB_PASSWORD, JOBS_DB_ROLE",
docker-compose.v9.yml,sahool-auth,13,"ADMIN_PASSWORD, CORS_ORIGINS, DATABASE_URL, FRONTEND_URL, JWT_SECRET, REDIS_PASSWORD, SMTP_FROM, SMTP_HOST, SMTP_PASSWORD, SMTP_PORT, SMTP_USER",
docker-compose.v9.yml,sahool-platform,34,"AI_AGRONOMIST_URL, ANTHROPIC_API_KEY, CORS_ORIGINS, DATABASE_URL, FEATURE_DECISION_CONFIDENCE, FEATURE_DECISION_STUDIO, FEATURE_DELTA_SYNC, FEATURE_DEVICE_TWIN, FEATURE_EVIDENCE_MAP, FEATURE_EXECUTION_FEEDBACK, FEATURE_GIS_KERNEL, FEATURE_IRRIGATION_NETWORK, FEATURE_LEARNING_DASHBOARD, FEATURE_NATURAL_LANGUAGE_GIS, FEATURE_OPERATIONS_WALL, FEATURE_PORTFOLIO_COMMAND, FEATURE_REPLAY_MAP, FEATURE_UNIFIED_LINEAGE, JOBS_DATABASE_URL, JWT_PUBLIC_KEY, JWT_SECRET, KNOWLEDGE_GRAPH_URL, NL_SQL_MODEL, RAG_RETRIEVAL_URL, RASTER_SERVICE_URL, REDIS_PASSWORD, SAHOOL_AGENT_TOKEN, SAHOOL_ALLOW_HS256_IN_PROD, SAHOOL_ENV, SEGMENTATION_URL, SOIL_SERVICE_URL, WEATHER_SERVICE_URL",
docker-compose.v9.yml,sahool-weather-polygon-worker,6,"DATABASE_URL, JOBS_DATABASE_URL, METNO_USER_AGENT, METNO_WIND_FALLBACK_ENABLED, WEATHER_HORIZON_HOURS",
docker-compose.v9.yml,sahool-weather-signal-engine,3,"DATABASE_URL, JOBS_DATABASE_URL, WEATHER_SIGNAL_INTERVAL_SEC",
docker-compose.v9.yml,sahool-supervisor-agent,7,"DATABASE_URL, JWT_SECRET, SAHOOL_AGENT_TOKEN",
docker-compose.v9.yml,sahool-guardrails-engine,4,"DATABASE_URL, JWT_SECRET, REDIS_PASSWORD, SAHOOL_AGENT_TOKEN",
docker-compose.v9.yml,sahool-sentinel-hub-mcp,3,"JWT_SECRET, SH_CLIENT_ID, SH_CLIENT_SECRET",
docker-compose.v9.yml,sahool-weather-mcp,1,JWT_SECRET,
docker-compose.v9.yml,sahool-wofost-mcp,1,JWT_SECRET,
docker-compose.v9.yml,sahool-market-mcp,5,"DATABASE_URL, JWT_SECRET",
docker-compose.v9.yml,sahool-vegetation-analysis,12,"CDSE_CLIENT_ID, CDSE_CLIENT_SECRET, COPERNICUS_PASSWORD, COPERNICUS_USER, CORS_ORIGINS, JWT_PUBLIC_KEY, JWT_SECRET, SH_BASE_URL, SH_CLIENT_ID, SH_CLIENT_SECRET, SH_TOKEN_URL",
docker-compose.v9.yml,sahool-raster-service,34,"CDSE_CLIENT_ID, CDSE_CLIENT_SECRET, CDSE_ENABLED, CDSE_PROCESS_MAX_RETRIES, CDSE_PROCESS_MIN_INTERVAL_SECONDS, CDSE_PROCESS_RETRY_BASE_SECONDS, CDSE_PROCESS_RETRY_MAX_SECONDS, CORS_ORIGINS, DATABASE_URL, DEAFRICA_ENABLED, DEAFRICA_STAC_URL, EARTH_SEARCH_URL, FIELD_DEM_PATH, PLANETARY_COMPUTER_URL, RASTER_ASYNC_BACKFILL_ENABLED, RASTER_LAYER_EVICT_ENABLED, RASTER_MAX_READ_DIM, REDIS_PASSWORD, S3_ACCESS_KEY, S3_ALLOW_FILE_FALLBACK, S3_BUCKET, S3_ENDPOINT, S3_REGION, S3_SECRET_KEY, S3_USE_SSL, SAHOOL_AGENT_TOKEN, SH_BASE_URL, SH_TOKEN_URL, SOILGRIDS_DIR, STAC_CACHE_TTL, STAC_FALLBACK_ENABLED, STAC_MAX_RETRIES, TITILER_URL",
docker-compose.v9.yml,sahool-raster-cache-invalidation-worker,14,"DATABASE_URL, JOBS_DATABASE_URL, RASTER_CACHE_INVALIDATION_ENABLED, S3_ACCESS_KEY, S3_ALLOW_FILE_FALLBACK, S3_BUCKET, S3_ENDPOINT, S3_REGION, S3_SECRET_KEY, S3_USE_SSL, TILE_CACHE_MAX_BYTES, TILE_CACHE_TTL_SECONDS, WORKER_POLL_SECONDS",
docker-compose.v9.yml,sahool-raster-backfill-scan-worker,20,"CDSE_CLIENT_ID, CDSE_CLIENT_SECRET, CDSE_PROCESS_MAX_RETRIES, CDSE_PROCESS_MIN_INTERVAL_SECONDS, CDSE_PROCESS_RETRY_BASE_SECONDS, CDSE_PROCESS_RETRY_MAX_SECONDS, DATABASE_URL, EARTH_SEARCH_URL, JOBS_DATABASE_URL, RASTER_ASYNC_BACKFILL_ENABLED, REDIS_PASSWORD, S3_ACCESS_KEY, S3_ALLOW_FILE_FALLBACK, S3_BUCKET, S3_ENDPOINT, S3_REGION, S3_SECRET_KEY, S3_USE_SSL, WORKER_POLL_SECONDS",
docker-compose.v9.yml,sahool-titiler,7,"AWS_VIRTUAL_HOSTING, CORS_ORIGINS, S3_ACCESS_KEY, S3_ENDPOINT_HOST, S3_REGION, S3_SECRET_KEY, S3_USE_SSL",
docker-compose.v9.yml,sahool-indicators-service,4,"CORS_ORIGINS, DATABASE_URL, REDIS_PASSWORD",
docker-compose.v9.yml,sahool-weather-service,2,CORS_ORIGINS,
docker-compose.v9.yml,sahool-actuator-service,4,"DATABASE_URL, JWT_SECRET, REDIS_PASSWORD",
docker-compose.v9.yml,sahool-fastbee,0,,
