capability_id,domain,title,mapped,coverage_dimensions,backend,routes,database,events,web,mobile,tests,governance
DEC-001,decision,Decision evidence,True,2,0,0,0,3,0,0,2,0
DEC-002,decision,Decision candidate,True,3,1,0,0,2,0,0,4,0
DEC-003,decision,Human approval,True,1,2,0,0,0,0,0,0,0
DEC-004,decision,Execution request,True,5,9,20,24,29,0,0,15,0
DEC-005,decision,Dispatch authorization,True,5,5,86,5,3,0,0,3,0
DEC-006,decision,Execution receipt,True,3,2,0,0,9,0,0,3,0
DEC-007,decision,Outcome recording,True,6,3,6,5,3,1,0,2,0
DEC-008,decision,Learning attribution,True,5,5,94,14,4,0,0,1,1
DEC-009,decision,Model calibration,True,1,0,0,2,0,0,0,0,0
DEC-010,decision,Model lifecycle and activation,True,5,4,89,42,8,0,0,5,1
FM-001,farm_management,Tenant and organization management,True,6,15,2,20,4,1,0,23,0
FM-002,farm_management,Farm registry,True,7,34,44,98,22,13,2,25,0
FM-003,farm_management,Field registry and boundaries,True,7,13,56,6,53,2,2,11,1
FM-004,farm_management,Season lifecycle,True,7,30,82,86,54,12,1,34,0
FM-005,farm_management,Crop and cultivar catalog,True,5,6,0,0,7,3,1,5,0
FM-006,farm_management,Farm economics,True,4,2,3,0,0,2,0,1,0
FM-007,farm_management,Inventory and procurement,True,7,8,24,8,1,1,1,5,3
FM-008,farm_management,ERP integration,True,5,10,24,5,1,0,0,7,0
GIS-001,gis,Field geometry validation,True,2,0,0,1,0,1,0,0,0
GIS-002,gis,Map layers,True,4,2,3,0,0,2,0,2,0
GIS-003,gis,Terrain and DEM,True,6,22,100,10,51,11,0,35,0
GIS-004,gis,Spatial analytics,True,3,1,0,1,0,0,0,1,0
INT-001,farm_management,Public API and SDK,False,0,0,0,0,0,0,0,0,0
INT-002,farm_management,Event bus integration,True,5,5,15,2,63,0,0,7,0
INT-003,irrigation,IoT and sensors,True,1,0,0,0,0,0,0,1,0
INT-004,precision,External machinery integrations,True,5,4,9,8,13,0,0,3,0
IRR-001,irrigation,Water source registry,True,2,0,0,8,0,0,0,1,0
IRR-002,irrigation,Water quality samples,True,4,2,6,8,1,0,0,0,0
IRR-003,irrigation,Field water-source binding,True,3,1,0,4,0,0,0,1,0
IRR-004,irrigation,Water balance,True,5,9,2,3,0,2,0,6,0
