id,title,metrics,traces,receipts,audit_events,runtime_surfaces,production_certified
FM-001,Tenant and organization management,3,0,0,0,1,False
FM-002,Farm registry,0,0,0,0,0,False
FM-003,Field registry and boundaries,0,0,0,0,0,False
FM-004,Season lifecycle,0,0,1,0,1,False
FM-005,Crop and cultivar catalog,0,0,0,0,0,False
FM-006,Farm economics,0,0,0,0,0,False
FM-007,Inventory and procurement,0,0,0,0,0,False
FM-008,ERP integration,0,0,0,0,0,False
GIS-001,Field geometry validation,0,0,9,0,1,False
GIS-002,Map layers,0,0,0,0,0,False
GIS-003,Terrain and DEM,0,0,0,0,0,False
GIS-004,Spatial analytics,0,0,0,0,0,False
SAT-001,Satellite scene search,0,0,0,0,0,False
SAT-002,True color imagery,0,0,0,0,0,False
SAT-003,NDVI,0,0,0,0,0,False
SAT-004,NDMI,0,0,0,0,0,False
SAT-005,Cloud screening,0,0,0,0,0,False
SAT-006,Historical imagery timeline,0,0,0,0,0,False
SAT-007,Change detection,0,0,0,0,0,False
SAT-008,Stress zones,0,0,0,0,0,False
SAT-009,COG persistence and tiling,0,0,0,0,0,False
WX-001,Current weather,0,0,0,0,0,False
WX-002,Weather forecast,0,0,0,0,0,False
WX-003,Weather history,0,0,0,0,0,False
WX-004,ET0,0,0,0,0,0,False
WX-005,VPD,0,0,0,0,0,False
WX-006,GDD,0,0,0,0,0,False
WX-007,Frost and heat risk,0,0,0,0,0,False
WX-008,Operation windows,0,0,0,0,0,False
WX-009,Disease weather models,0,0,0,0,0,False
WX-010,Weather provenance and quality,0,0,1,0,1,False
SOIL-001,Soil profile,0,0,0,0,0,False
SOIL-002,Soil sampling,0,0,0,0,0,False
SOIL-003,Laboratory results,0,0,0,0,0,False
SOIL-004,pH EC SOM nutrients,0,0,0,0,0,False
SOIL-005,Soil water properties,0,0,0,0,0,False
IRR-001,Water source registry,0,0,0,0,0,False
IRR-002,Water quality samples,0,0,0,0,0,False
IRR-003,Field water-source binding,0,0,0,0,0,False
IRR-004,Water balance,0,0,0,0,0,False
IRR-005,Irrigation recommendation,0,0,2,0,1,False
IRR-006,Irrigation scheduling,0,0,0,0,0,False
IRR-007,Pump and valve control,0,0,5,0,1,False
IRR-008,Execution verification,0,0,0,0,0,False
IRR-009,Water suitability multi-hazard,0,0,0,0,0,False
IRR-010,Leaching and drainage safety,0,0,0,0,0,False
PA-001,Management zones,0,0,0,0,0,False
PA-002,Variable rate prescription,0,0,0,0,0,False
PA-003,Yield map ingestion,0,0,0,0,0,False
PA-004,As-applied data,0,0,0,0,0,False
PA-005,Machine telemetry,0,0,0,0,0,False
OPS-001,Task management,0,0,0,0,0,False
OPS-002,Work orders,0,0,0,0,0,False
OPS-003,Scouting,0,0,0,0,0,False
OPS-004,Field forms,0,0,0,0,0,False
OPS-005,Offline mobile,0,0,0,0,0,False
OPS-006,Equipment registry,0,0,0,0,0,False
OPS-007,Maintenance,0,0,0,0,0,False
OPS-008,Workforce and worker identity,3,0,0,0,1,False
DEC-001,Decision evidence,0,0,2,0,1,False
DEC-002,Decision candidate,0,0,0,0,0,False
DEC-003,Human approval,0,0,4,0,1,False
DEC-004,Execution request,0,0,4,0,1,False
DEC-005,Dispatch authorization,0,0,1,0,1,False
DEC-006,Execution receipt,0,0,3,0,1,False
DEC-007,Outcome recording,0,0,18,0,1,False
DEC-008,Learning attribution,0,0,3,0,1,False
DEC-009,Model calibration,0,0,0,0,0,False
DEC-010,Model lifecycle and activation,0,0,4,0,1,False
SEC-001,Tenant RLS,0,0,0,0,0,False
SEC-002,Signed tenant assertion,0,0,0,0,0,False
SEC-003,Worker identity binding,3,0,0,0,1,False
SEC-004,MFA,3,0,0,0,1,False
SEC-005,Audit logging,3,0,0,0,1,False
SEC-006,Service token guard,3,0,0,0,1,False
SEC-007,Decision SoR DB ownership,0,0,0,0,0,False
SEC-008,Secrets and production fail-closed,3,0,0,0,1,False
INT-001,Public API and SDK,0,0,0,0,0,False
INT-002,Event bus integration,0,0,0,0,0,False
INT-003,IoT and sensors,0,0,0,0,0,False
INT-004,External machinery integrations,0,0,0,0,0,False
