id,title,domain,owner,lifecycle,status,maturity,evidence_level,mapped,dependency_count,dependent_count,runtime_verified,production_certified,parity,investment,priority,business_value
DEC-001,Decision evidence,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,0,1,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-002,Decision candidate,decision,decision-service,active,behavioral_test_linked_runtime_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-003,Human approval,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-004,Execution request,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-005,Dispatch authorization,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,2,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-006,Execution receipt,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,2,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-007,Outcome recording,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-008,Learning attribution,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-009,Model calibration,decision,decision-service,active,behavioral_test_linked_runtime_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
DEC-010,Model lifecycle and activation,decision,decision-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,0,False,False,Unassessed,unassessed,unassessed,unassessed
FM-001,Tenant and organization management,farm_management,auth+field-management-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,0,0,False,False,Unassessed,unassessed,unassessed,unassessed
FM-002,Farm registry,farm_management,field-management-service,active,behavioral_test_linked_runtime_unverified,3,3,True,0,2,False,False,Unassessed,unassessed,unassessed,unassessed
FM-003,Field registry and boundaries,farm_management,field-management-service,active,behavioral_test_linked_runtime_unverified,3,3,True,1,8,False,False,Unassessed,unassessed,unassessed,unassessed
FM-004,Season lifecycle,farm_management,field-management-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,2,1,False,False,Unassessed,unassessed,unassessed,unassessed
FM-005,Crop and cultivar catalog,farm_management,UNASSIGNED,active,behavioral_test_linked_runtime_unverified,3,3,True,0,1,False,False,Unassessed,unassessed,unassessed,unassessed
FM-006,Farm economics,farm_management,UNASSIGNED,active,behavioral_test_linked_runtime_unverified,3,3,True,2,1,False,False,Unassessed,unassessed,unassessed,unassessed
FM-007,Inventory and procurement,farm_management,UNASSIGNED,active,behavioral_test_linked_runtime_unverified,3,3,True,0,0,False,False,Unassessed,unassessed,unassessed,unassessed
FM-008,ERP integration,farm_management,erp-bridge,active,behavioral_test_linked_runtime_unverified,3,3,True,1,0,False,False,Unassessed,unassessed,unassessed,unassessed
GIS-001,Field geometry validation,gis,field-management-service,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
GIS-002,Map layers,gis,raster-service,active,behavioral_test_linked_runtime_unverified,3,3,True,1,2,False,False,Unassessed,unassessed,unassessed,unassessed
GIS-003,Terrain and DEM,gis,raster-service,active,behavioral_test_linked_runtime_unverified,3,3,True,1,0,False,False,Unassessed,unassessed,unassessed,unassessed
GIS-004,Spatial analytics,gis,raster-service,active,behavioral_test_linked_runtime_unverified,3,3,True,2,1,False,False,Unassessed,unassessed,unassessed,unassessed
INT-001,Public API and SDK,farm_management,sahool-platform,active,runtime_or_workflow_unverified,3,3,True,0,0,False,False,Behind,unassessed,unassessed,unassessed
INT-002,Event bus integration,farm_management,sahool-platform,active,behavioral_test_linked_runtime_unverified,3,3,True,0,0,False,False,Unassessed,unassessed,unassessed,unassessed
INT-003,IoT and sensors,irrigation,actuator-service,active,behavioral_test_linked_runtime_unverified,3,3,True,0,0,False,False,Unassessed,unassessed,unassessed,unassessed
INT-004,External machinery integrations,precision,UNASSIGNED,active,documentation_or_scaffold,1,1,False,1,0,False,False,Behind,unassessed,unassessed,unassessed
IRR-001,Water source registry,irrigation,sahool-platform,active,behavioral_test_linked_runtime_unverified,3,3,True,0,2,False,False,Unassessed,unassessed,unassessed,unassessed
IRR-002,Water quality samples,irrigation,sahool-platform,active,runtime_or_workflow_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
IRR-003,Field water-source binding,irrigation,sahool-platform,planned,missing_confirmed,0,0,True,2,1,False,False,Unassessed,unassessed,unassessed,unassessed
IRR-004,Water balance,irrigation,sahool-platform,active,behavioral_test_linked_runtime_unverified,3,3,True,3,1,False,False,Unassessed,unassessed,unassessed,unassessed
IRR-005,Irrigation recommendation,irrigation,sahool-platform,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,1,1,False,False,Leader,unassessed,unassessed,unassessed
IRR-006,Irrigation scheduling,irrigation,sahool-platform,active,behavioral_test_linked_runtime_unverified,3,3,True,1,1,False,False,Unassessed,unassessed,unassessed,unassessed
IRR-007,Pump and valve control,irrigation,actuator-service+sahool-platform,active,repository_runtime_instrumentation_linked_production_unverified,3,3,True,2,1,False,False,Unassessed,unassessed,unassessed,unassessed
