id,title,service,api,test,metrics,traces,receipts,audit_events,runtime_proof,production_proof,gates_passed,gates_total,readiness_percent,eligible_for_certification,certified
FM-001,Tenant and organization management,True,True,True,True,False,False,False,False,False,4,9,44.4,False,False
FM-002,Farm registry,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
FM-003,Field registry and boundaries,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
FM-004,Season lifecycle,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
FM-005,Crop and cultivar catalog,False,True,True,False,False,False,False,False,False,2,9,22.2,False,False
FM-006,Farm economics,False,True,True,False,False,False,False,False,False,2,9,22.2,False,False
FM-007,Inventory and procurement,False,True,True,False,False,False,False,False,False,2,9,22.2,False,False
FM-008,ERP integration,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
GIS-001,Field geometry validation,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
GIS-002,Map layers,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
GIS-003,Terrain and DEM,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
GIS-004,Spatial analytics,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SAT-001,Satellite scene search,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SAT-002,True color imagery,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
SAT-003,NDVI,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SAT-004,NDMI,True,False,False,False,False,False,False,False,False,1,9,11.1,False,False
SAT-005,Cloud screening,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SAT-006,Historical imagery timeline,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SAT-007,Change detection,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SAT-008,Stress zones,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SAT-009,COG persistence and tiling,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
WX-001,Current weather,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
WX-002,Weather forecast,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
WX-003,Weather history,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
WX-004,ET0,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
WX-005,VPD,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
WX-006,GDD,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
WX-007,Frost and heat risk,True,False,False,False,False,False,False,False,False,1,9,11.1,False,False
WX-008,Operation windows,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
WX-009,Disease weather models,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
WX-010,Weather provenance and quality,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
SOIL-001,Soil profile,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SOIL-002,Soil sampling,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SOIL-003,Laboratory results,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
SOIL-004,pH EC SOM nutrients,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
SOIL-005,Soil water properties,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
IRR-001,Water source registry,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
IRR-002,Water quality samples,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
IRR-003,Field water-source binding,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
IRR-004,Water balance,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
IRR-005,Irrigation recommendation,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
IRR-006,Irrigation scheduling,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
IRR-007,Pump and valve control,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
IRR-008,Execution verification,True,False,False,False,False,False,False,False,False,1,9,11.1,False,False
IRR-009,Water suitability multi-hazard,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
IRR-010,Leaching and drainage safety,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
PA-001,Management zones,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
PA-002,Variable rate prescription,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
