package,version_count,versions,services,files
anthropic,2,"0.28.0, 0.69.0",0.28.0=>supervisor-agent; 0.69.0=>sahool-platform,services/sahool-platform/api/requirements.txt:25; services/supervisor-agent/requirements.txt:12
asyncpg,2,"0.29.0, 0.30.0","0.29.0=>raster-service; 0.30.0=>actuator-service,agriai-engine,auth,decision-service,guardrails-engine,indicators-service,mcp_servers,odoo-bridge,sahool-platform,soil-service,supervisor-agent,weather-polygon-worker,weather-signal-engine",services/actuator-service/requirements.txt:5; services/agriai-engine/requirements.txt:3; services/auth/requirements.txt:3; services/decision-service/requirements.txt:6; services/guardrails-engine/requirements.txt:6; services/indicators-service/requirements.txt:3; services/mcp_servers/requirements.txt:16; services/odoo-bridge/requirements.txt:5; services/raster-service/requirements.txt:12; services/raster-service/requirements.txt:22; services/sahool-platform/api/requirements.txt:27; services/soil-service/requirements.txt:3; services/supervisor-agent/requirements.txt:9; services/weather-polygon-worker/requirements.txt:1; services/weather-signal-engine/requirements.txt:1
cryptography,2,"42.0.0, 44.0.0","42.0.0=>supervisor-agent; 44.0.0=>auth,mcp_servers",services/auth/requirements.txt:6; services/mcp_servers/requirements.txt:6; services/supervisor-agent/requirements.txt:6
fastapi,2,"0.115.6, 0.136.3","0.115.6=>decision-service; 0.136.3=>actuator-service,agriai-engine,ai_agronomist,auth,edge-inference,field-segmentation,guardrails-engine,indicators-service,knowledge-graph,local-ai-rag,mcp_servers,odoo-bridge,rag-retrieval,raster-service,sahool-platform,sam2-inference,soil-service,supervisor-agent,tts-service,vegetation-analysis-service,video-processor,weather-service",services/actuator-service/requirements.txt:1; services/agriai-engine/requirements.txt:1; services/ai_agronomist/requirements.txt:1; services/auth/requirements.txt:1; services/decision-service/requirements.txt:1; services/edge-inference/requirements.txt:1; services/field-segmentation/requirements.txt:4; services/guardrails-engine/requirements.txt:1; services/indicators-service/requirements.txt:1; services/knowledge-graph/requirements.txt:1; services/local-ai-rag/requirements.txt:1; services/mcp_servers/requirements.txt:1; services/odoo-bridge/requirements.txt:1; services/rag-retrieval/requirements.txt:1; services/raster-service/requirements.txt:1; services/sahool-platform/api/requirements.txt:6; services/sam2-inference/requirements.txt:11; services/soil-service/requirements.txt:1; services/supervisor-agent/requirements.txt:1; services/tts-service/requirements.txt:2; services/vegetation-analysis-service/requirements.txt:1; services/video-processor/requirements.txt:1; services/weather-service/requirements.txt:1
httpx,2,"0.27.0, 0.28.1","0.27.0=>actuator-service,field-segmentation,guardrails-engine,local-ai-rag,odoo-bridge,qdrant-seed,raster-service,sahool-platform,sam2-inference,soil-service,supervisor-agent,vegetation-analysis-service,video-processor; 0.28.1=>ai_agronomist,decision-service,edge-inference,mcp_servers,weather-service",services/actuator-service/requirements.txt:4; services/ai_agronomist/requirements.txt:4; services/decision-service/requirements.txt:3; services/edge-inference/requirements.txt:5; services/field-segmentation/requirements.txt:6; services/guardrails-engine/requirements.txt:5; services/local-ai-rag/requirements.txt:4; services/mcp_servers/requirements.txt:4; services/odoo-bridge/requirements.txt:4; services/qdrant-seed/requirements.txt:2; services/raster-service/requirements.txt:4; services/sahool-platform/api/requirements.txt:15; services/sam2-inference/requirements.txt:14; services/soil-service/requirements.txt:6; services/supervisor-agent/requirements.txt:4; services/vegetation-analysis-service/requirements.txt:3; services/video-processor/requirements.txt:4; services/weather-service/requirements.txt:3
nats-py,2,"2.10.0, 2.3.0","2.10.0=>sahool-platform; 2.3.0=>indicators-service,vegetation-analysis-service,weather-polygon-worker",services/indicators-service/requirements.txt:4; services/sahool-platform/api/requirements.txt:22; services/vegetation-analysis-service/requirements.txt:4; services/weather-polygon-worker/requirements.txt:2
numpy,4,"1.24.0, 1.26.0, 1.26.4, 2.3.5","1.24.0=>gis-workflow-service; 1.26.0=>field-segmentation,raster-service,supervisor-agent,video-processor; 1.26.4=>sahool-platform,sam2-inference; 2.3.5=>agriai-engine,edge-inference,mcp_servers",services/agriai-engine/requirements.txt:6; services/edge-inference/requirements.txt:6; services/field-segmentation/requirements.txt:9; services/gis-workflow-service/requirements.txt:4; services/mcp_servers/requirements.txt:7; services/raster-service/requirements.txt:8; services/sahool-platform/api/requirements.txt:19; services/sam2-inference/requirements.txt:19; services/supervisor-agent/requirements.txt:7; services/video-processor/requirements.txt:6
pillow,2,"10.0.0, 12.2.0",10.0.0=>field-segmentation; 12.2.0=>edge-inference,services/edge-inference/requirements.txt:7; services/field-segmentation/requirements.txt:10
prometheus-client,2,"0.19.0, 0.20.0","0.19.0=>auth,guardrails-engine,supervisor-agent,tts-service,vegetation-analysis-service; 0.20.0=>agriai-engine,indicators-service,mcp_servers,soil-service",services/agriai-engine/requirements.txt:4; services/auth/requirements.txt:9; services/guardrails-engine/requirements.txt:9; services/indicators-service/requirements.txt:7; services/mcp_servers/requirements.txt:15; services/soil-service/requirements.txt:4; services/supervisor-agent/requirements.txt:10; services/tts-service/requirements.txt:8; services/vegetation-analysis-service/requirements.txt:6
pydantic,2,"2.10.4, 2.13.4","2.10.4=>decision-service; 2.13.4=>actuator-service,agriai-engine,ai_agronomist,auth,edge-inference,field-segmentation,guardrails-engine,indicators-service,knowledge-graph,local-ai-rag,mcp_servers,odoo-bridge,rag-retrieval,raster-service,sahool-platform,sam2-inference,soil-service,supervisor-agent,tts-service,vegetation-analysis-service,video-processor",services/actuator-service/requirements.txt:3; services/agriai-engine/requirements.txt:8; services/ai_agronomist/requirements.txt:3; services/auth/requirements.txt:8; services/decision-service/requirements.txt:4; services/edge-inference/requirements.txt:3; services/field-segmentation/requirements.txt:7; services/guardrails-engine/requirements.txt:3; services/indicators-service/requirements.txt:6; services/knowledge-graph/requirements.txt:3; services/local-ai-rag/requirements.txt:3; services/mcp_servers/requirements.txt:3; services/odoo-bridge/requirements.txt:3; services/rag-retrieval/requirements.txt:3; services/raster-service/requirements.txt:3; services/sahool-platform/api/requirements.txt:8; services/sam2-inference/requirements.txt:13; services/soil-service/requirements.txt:5; services/supervisor-agent/requirements.txt:3; services/tts-service/requirements.txt:7; services/vegetation-analysis-service/requirements.txt:5; services/video-processor/requirements.txt:3
